Date,Rain,T_max,T_min,Shimla,Shimla_Tourism,Shimla_Weather,Shimla_Travel,Recreation,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2010-01-01,-0.39700468426990526,-1.6506886126840539,-1.6506886126840539,0.8388023890610797,2.710889878350301,-0.18041529867350242,3.1732914677927577,0,0.027633814429662312,0.572920199300728,0.06529319317594967,-0.8427401802450541,-0.11764726071020666,0,1.3353992495441507,0,183556.0
2010-02-01,-0.39700468426990526,-1.5386936572642023,-1.5386936572642023,0.17532151343192162,2.960977886051452,-0.8578609278282732,1.6980261628983764,0,0.31502548449814877,0.572920199300728,1.9172455814392462,1.692445155368167,0.7870767441880038,22,0.579390964721575,2,174609.0
2010-03-01,-0.27209966643422634,-0.20702761199802316,-0.20702761199802316,1.8708837511508811,3.5236759033790426,-0.7962749615414758,3.665046569424218,0,1.579548832799489,1.9575143292916424,2.578657148676138,2.41678382268623,1.304061889844124,0,2.427411216510093,0,198760.0
2010-04-01,-0.39700468426990526,-0.035199735189484035,-0.035199735189484035,2.534364626780039,4.273939926482497,-0.4267591638206918,3.3372098350032444,0,1.6945055008268837,2.9959599267848285,3.9014802831499207,4.408715157810904,1.239438746637109,0,3.435422262940194,2,395110.0
2010-05-01,0.27277395063743703,0.6597826594021969,0.6597826594021969,3.4190057942855834,5.336813959212391,-0.5499310963942865,4.648556772687139,0,2.7291155130734346,3.342108459282557,3.9014802831499207,4.589799824640419,3.372002472468605,0,3.0154176602609852,5,390553.0
2010-06-01,-0.39700468426990526,1.0065067679622852,1.0065067679622852,2.2394842376115247,4.023851918781346,-0.4267591638206918,3.9928833038451916,0,1.8669405028679755,2.3728925682889166,2.8432217755708944,3.6843764904928404,1.8210470355002442,0,3.183419501332669,0,432559.0
2010-07-01,-0.2755656171909232,0.9374687817445687,0.9374687817445687,0.986242583645337,1.835581851396271,-0.7962749615414758,1.3701894284774028,7,0.14259048245705688,0.6421499058002738,0.7267047604128413,-0.118401512926991,0.7870767441880038,0,1.0833964879366256,0,197096.0
2010-08-01,0.7652659345748708,0.9436054916305878,0.9436054916305878,0.24904161072405032,1.0853178282928169,-0.6731030289678811,0.8784343268459422,9,-0.08732285359773226,0.0190825473043622,0.06529319317594967,1.3302758217091353,-0.05302411750319163,0,0.4113891236498916,2,222870.0
2010-09-01,0.3732865225816457,1.0816814640660208,1.0816814640660208,0.322761708016179,1.0227958263675292,-0.9194468941150705,1.0423526940564292,0,-0.08732285359773226,0.43446078630163654,1.1235517007549762,0.787021821220588,0.33471474173889854,10,0.8313937263291002,4,207944.0
2010-10-01,-0.39700468426990526,0.3790281821168161,0.3790281821168161,0.10160141613979295,1.0227958263675292,-1.0426188266886651,2.681536366161297,0,-0.08732285359773226,0.3652310798020908,1.2558340142023545,1.3302758217091353,0.5285841713599436,8,0.49539004418573335,0,154716.0
2010-11-01,-0.39700468426990526,-0.5000555090554428,-0.5000555090554428,0.24904161072405032,1.2728838340686806,-0.6731030289678811,0.8784343268459422,22,-0.25975785563882414,0.43446078630163654,0.46214013351808464,-0.48057084658602256,0.4639610281529286,0,1.1673974084724672,0,103267.0
2010-12-01,-0.39700468426990526,-1.3545923606836245,-1.3545923606836245,1.3548430701059804,1.1478398302181048,0.5586162967680657,3.0093731005822706,0,0.5449388205529379,1.5421360902943682,1.7849632679918677,1.3302758217091353,1.239438746637109,13,2.3434102959742513,1,157230.0
2011-01-01,-0.39700468426990526,-1.540227834735707,-1.540227834735707,-0.3407191676129791,0.7727078186663779,-0.057243366099907746,0.222760858003995,0,-0.4896711916936133,-0.11937686569472925,0.7267047604128413,1.692445155368167,0.07622216891083843,4,-0.09261639956515881,1,198866.0
2011-02-01,-0.39700468426990526,-1.4266987018443509,-1.4266987018443509,-0.0458387784444644,0.9602738244422414,-0.30358723124709713,0.8784343268459422,0,-0.3172361896525214,-0.05014715919518352,0.46214013351808464,0.2437678207320406,-0.4407629767452818,0,0.1593863620423664,0,174609.0
2011-03-01,-0.39700468426990526,-1.0232100268385846,-1.0232100268385846,0.027881318847664278,0.8352298205916657,-0.6731030289678811,1.5341077956878895,0,-0.08732285359773226,0.22677166680299937,0.594422446965463,1.692445155368167,0.14084531211785345,0,0.4113891236498916,0,195523.0
