Date,Rain,T_max,T_min,Tourism,Travel_index,Travel,Bus & Rail,Tourist Destinations,Travel Agencies,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,Tourist Arrivals
2010-06-01,-0.3970046842699052,1.0065067679622852,1.0065067679622852,4.023851918781346,3.992883303845192,2.3728925682889166,1.821047035500244,3.183419501332669,0,390553.0,395110.0,198760.0,174609.0,183556.0,432559.0
2010-07-01,-0.2755656171909232,0.9374687817445688,0.9374687817445688,1.835581851396271,1.3701894284774028,0.6421499058002738,0.7870767441880038,1.0833964879366256,0,432559.0,390553.0,395110.0,198760.0,174609.0,197096.0
2010-08-01,0.7652659345748708,0.9436054916305878,0.9436054916305878,1.0853178282928169,0.8784343268459422,0.0190825473043622,-0.0530241175031916,0.4113891236498916,2,197096.0,432559.0,390553.0,395110.0,198760.0,222870.0
2010-09-01,0.3732865225816457,1.0816814640660208,1.0816814640660208,1.0227958263675292,1.0423526940564292,0.4344607863016365,0.3347147417388985,0.8313937263291002,4,222870.0,197096.0,432559.0,390553.0,395110.0,207944.0
2010-10-01,-0.3970046842699052,0.3790281821168161,0.3790281821168161,1.0227958263675292,2.681536366161297,0.3652310798020908,0.5285841713599436,0.4953900441857333,0,207944.0,222870.0,197096.0,432559.0,390553.0,154716.0
2010-11-01,-0.3970046842699052,-0.5000555090554428,-0.5000555090554428,1.2728838340686806,0.8784343268459422,0.4344607863016365,0.4639610281529286,1.1673974084724672,0,154716.0,207944.0,222870.0,197096.0,432559.0,103267.0
2010-12-01,-0.3970046842699052,-1.3545923606836243,-1.3545923606836243,1.1478398302181048,3.0093731005822706,1.5421360902943682,1.239438746637109,2.3434102959742518,1,103267.0,154716.0,207944.0,222870.0,197096.0,157230.0
2011-01-01,-0.3970046842699052,-1.540227834735707,-1.540227834735707,0.7727078186663779,0.222760858003995,-0.1193768656947292,0.0762221689108384,-0.0926163995651588,1,157230.0,103267.0,154716.0,207944.0,222870.0,198866.0
2011-02-01,-0.3970046842699052,-1.4266987018443509,-1.4266987018443509,0.9602738244422414,0.8784343268459422,-0.0501471591951835,-0.4407629767452818,0.1593863620423664,0,198866.0,157230.0,103267.0,154716.0,207944.0,174609.0
2011-03-01,-0.3970046842699052,-1.0232100268385846,-1.0232100268385846,0.8352298205916657,1.5341077956878897,0.2267716668029993,0.1408453121178534,0.4113891236498916,0,174609.0,198866.0,157230.0,103267.0,154716.0,195523.0
2011-04-01,-0.3970046842699052,-0.3282276322469034,-0.3282276322469034,1.6480158456204077,1.6980261628983764,1.057528144797548,0.9163230306020338,1.1673974084724672,1,195523.0,174609.0,198866.0,157230.0,103267.0,371339.0
2011-05-01,-0.3671844287028531,0.7809826796510777,0.7809826796510777,1.9606258552468467,2.02586289731935,1.6805955032934596,1.368685033051139,2.091407534366726,0,371339.0,195523.0,174609.0,198866.0,157230.0,412521.5
2011-06-01,1.3676547156185126,0.3345370354431766,0.3345370354431766,1.7105378475456954,1.5341077956878897,1.6805955032934596,1.562554462672184,2.0074066138308844,0,412521.5,371339.0,195523.0,174609.0,198866.0,448252.0
2011-07-01,1.710440515220696,0.9052510548429676,0.9052510548429676,0.71018581674109,0.222760858003995,-0.1886065721942749,-0.3761398335382668,0.2433872825782081,0,448252.0,412521.5,371339.0,195523.0,174609.0,205371.5
2011-08-01,5.430353908967211,1.281124535361647,1.281124535361647,0.8352298205916657,0.222760858003995,-0.1193768656947292,-0.3761398335382668,0.3273882031140498,0,205371.5,448252.0,412521.5,371339.0,195523.0,250601.5
2011-09-01,-0.3970046842699052,1.2320308562734927,1.2320308562734927,0.7727078186663779,-0.5968309780484391,-0.5347551046920036,-0.3115166903312517,-0.344619161172684,0,250601.5,205371.5,448252.0,412521.5,371339.0,211420.5
2011-10-01,-0.3970046842699052,0.4741471853501147,0.4741471853501147,0.3975758071146509,-0.1050758764169786,-0.4655253981924578,-0.4407629767452818,-0.4286200817085257,1,211420.5,250601.5,205371.5,448252.0,412521.5,193181.5
2011-11-01,-0.3970046842699052,-0.4478934750242791,-0.4478934750242791,0.3975758071146509,0.0588424907935081,-0.2578362786938207,-0.3115166903312517,-0.2606182406368423,1,193181.5,211420.5,250601.5,205371.5,448252.0,136753.0
2011-12-01,-0.3970046842699052,-0.978718880164945,-0.978718880164945,0.3975758071146509,0.3866792252144818,0.1575419603034536,0.0762221689108384,0.2433872825782081,0,136753.0,193181.5,211420.5,250601.5,205371.5,213177.0
2012-01-01,-0.3970046842699052,-1.2978277942379466,-1.2978277942379466,0.5226198109652266,0.5505975924249686,0.0190825473043622,-0.3761398335382668,0.2433872825782081,0,213177.0,136753.0,193181.5,211420.5,250601.5,209806.0
2012-02-01,-0.3970046842699052,-1.672167097285121,-1.672167097285121,0.6476638148158023,0.0588424907935081,-0.3270659851933664,0.0115990257038234,-0.5966219227802092,0,209806.0,213177.0,136753.0,193181.5,211420.5,182741.5
2012-03-01,-0.3970046842699052,-1.2211189206627058,-1.2211189206627058,0.71018581674109,1.0423526940564292,-0.1886065721942749,-0.0530241175031916,-0.2606182406368423,0,182741.5,209806.0,213177.0,136753.0,193181.5,205580.0
2012-04-01,-0.3970046842699052,0.2302129673808489,0.2302129673808489,1.0227958263675292,0.5505975924249686,0.4344607863016365,0.2054684553248685,0.2433872825782081,1,205580.0,182741.5,209806.0,213177.0,136753.0,373797.5
